,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
2492,,COORDINACION ZONAL 7 DEL MINISTERIO DE TURISMO,
2493,,COORDINACION ZONAL 7 DEL MINISTERIO DEL AMBIENTE,
2494,,COORDINACION ZONAL 7 DEL MINISTERIO DEL DEPORTE,
2495,,COORDINACION ZONAL 7 MINISTERIO DE CULTURA Y PATRIMONIO,
2496,,COORDINACION ZONAL 9 SALUD,
2497,,COORDINACION ZONAL DE EDUCACION,
2498,,COORDINACION ZONAL DE PLANIFICACION 7 DE LA SECRETARIA NACIONAL DE PLANIFICACION,
2499,,COORDINADORA ZONAL 9-SALUD,
2500,,COORP SANTA ANA,
2501,,COORPORACION AIDA MONTOYA E HIJAS. INSTITUCION EDUCATIVA ISM ACADEMY QUITO,
2502,,COORPORACION CIVIL BOLSA DE VALORES DE QUITO,
2503,,COPERATIVA DE AHORRO Y CREDITO CARIAMANGA,
2504,,COPERATIVA DE AHORRO Y CREDITOS JARDIN AZUAYO,
2505,,COPRISEG CIA. LTDA.,
2506,,CORA REFRIGERACION CIA. LTDA.,
2507,,CORAL DEL HIERRO RAMIRO GIOVANNY,
2508,,CORDERO VILCHES JUAN LUIS,
2509,,CORDOVA AGUIRRE JUAN FERNANDO,
2510,,CORDOVA CAMACHO JHOANA RAQUEL,
2511,,CORDOVA GRANDA NILA BIRMANIA,
2512,,COREPTEC S.A.,
2513,,CORONEL REQUENA & ASOCIADOS,
2514,,CORONEL ROGEL KARINA DEL PILAR,
2515,,CORP. PROTEC CIA. LTDA.,
2516,,CORPNAULA S.A.S,
2517,,CORPOIMPEX S.A.,
2518,,CORPORACION ADVENTISTA (MISION ECUATORIANA DEL NORTE),
2519,,CORPORACION AGRICOLA BONITA MARIA AGRIBOMA CIA LTDA,
2520,,CORPORACION AIDA MONTOYA E HIJAS CIA. LTDA.,
2521,,CORPORACION ASSIDERE,
2522,,CORPORACION AZENDE S.A.,
2523,,CORPORACION AZUCARERA ECUATORIANA S.A.AGROAZUCAR ECUADOR,
2524,,CORPORACION COOPERACION ENTRE FINCAS COOPFARM,
2525,,CORPORACION DE CONSULTORIA DE SERVICIOS FRANCO FALQUEZ,
2526,,CORPORACION DE DESARROLLO CUENCA DEL RIO MIRA,
2527,,CORPORACION DE ESTUDIOS PARA EL DESARROLLO CORDES,
2528,,CORPORACION DE ESTUDIOS Y PUBLICACIONES,
2529,,CORPORACION DE ESTUDIOS Y PUBLICACIONES (CEP),
2530,,CORPORACION DE FERIAS DE LOJA,
2531,,CORPORACION DE LA ASOCIACION DE LOS ADVENTISTAS DEL SEPTIMO DIA DEL ECUADOR,
2532,,CORPORACION DE PROMOCION DE EXPORTACIONES E INVERSIONES CORPEI,
2533,,CORPORACION DE PROMOCION ECONOMICA,
2534,,CORPORACION ECUATORIANA PARA EL DESARROLLO DE LA INVESTIGACION Y LA ACADEMIA CEDIA,
2535,,CORPORACION ELECTRICA DEL ECUADOR CELEC SOCIEDAD ANONIMA,
2536,,CORPORACION FAVORITA C.A.,
2537,,CORPORACION FERELI,
2538,,CORPORACION FERNANDEZ,
2539,,CORPORACION FIGUEROA SANDOVAL (COFIGSA),
2540,,CORPORACION FINANCIERA NACIONAL CNT EP,
2541,,CORPORACION FORTALEZA DEL VALLE,
2542,,CORPORACION FUTURA S.A.,
2543,,CORPORACION GERARDO ORTIZ E HIJOS CIA. LTDA,
2544,,CORPORACION GRAFICA MAXIGRAF SA,
2545,,CORPORACION GRUPO FYBECA S.A,
2546,,CORPORACION GRUPO SALINAS,
2547,,CORPORACION JARRIN HERRERA CIA. LTDA.,
2548,,CORPORACION JURIDICA TOROBUCHELI S.A,
2549,,CORPORACION LA FAVORITA,
2550,,CORPORACION LANEC S.A,
2551,,CORPORACION LATINOAMERICANA PARA EL DESARROLLO,
2552,,CORPORACION LEGAL FERELI,
2553,,CORPORACION LIDERES PARA GOBERNAR,
2554,,CORPORACION LIDERES PARA GOBERNAR CLPG,
2555,,CORPORACION MACOFI Y ASESORES C.L,
2556,,CORPORACION MANEJO FORESTAL SUSTENTABLE,
2557,,CORPORACION MARESA,
2558,,CORPORACION MAXIGRAF,
2559,,CORPORACION MINERA MIRANDA MINERMIR S.A,
2560,,CORPORACION MISION SAN LUCAS,
2561,,CORPORACION MUCHO MEJOR ECUADOR,
2562,,CORPORACION NACIONAL DE ELECTRICIDAD CNEL EP,
2563,,CORPORACION NACIONAL DE ELECTRICIDAD,
2564,,CORPORACION NACIONAL DE TELECOMUNICACIONES CNT EP,
2565,,CORPORACION NATURALEZA Y CULTURA INTERNACIONAL,
2566,,CORPORACION NEXUM NEXUMCORP S.A,
2567,,CORPORACION PARA EL EMPRENDIMIENTO Y LA INNOVACION DEL ECUADOR,
2568,,CORPORACION PARA LA EDUCACION Y CULTURA ECUATORIANA,
2569,,CORPORACION PARA LA INVESTIGACION ENERGETICA,
2570,,CORPORACION PARQUE TECNOLOGICO DE INNOVACION DEL CAFE Y SU CAFICULTURA (TECNICAFE),
2571,,CORPORACION PROMOCION DE LA MUJER,
2572,,CORPORACION TOISAN,
2573,,CORPORACION TRIDOR C&TRIDOR CIA LTDA,
2574,,CORPORACION UNIVERSITARIA MINUTO DE DIOS,
2575,,CORPORACION UNIVERSITARIA MINUTO DE DIOS-UN/MINUTO,
2576,,CORPORACION UNIVERSITARIA REMINGTON,
2577,,CORPORACION VIVIENDAS DEL HOGAR DE CRISTO,
2578,,CORPORAOON NAOONAL DE TELECOMUNICAOONES CNT EP,
2579,,CORPORATE LEX ASESORES LEGALES CORPORATIVOS CIA LTDA,
2580,,CORPORATION DE FLORICULTORES DE TABACUNDO,
2581,,CORRALROSALES CIA. LTDA.,
2582,,CORRAMER S.A. INTERMEDIARIA DE REASEGUROS,
2583,,CORRDINACION DE EDUCACION ZONA 6,
2584,,CORREA CONDE ANDREA DEL ROCIO,
2585,,CORREA GUAMAN ANGEL BAYRON,
2586,,CORREA JARAMILLO CARLOS ENRIQUE,
2587,,CORREA MACHUCA JUAN CARLOS,
2588,,CORREA QUEZADA LILIANA DEL CISNE,
2589,,CORREA Y HERMANOS CIA. LTDA. DE COMERCIO,
2590,,CORREOS DEL ECUADOR,
2591,,CORRUPLANET,
2592,,CORTE CONSTITUCIONAL,
2593,,CORTE CONSTITUCIONAL DEL ECUADOR,
2594,,CORTE NACIONAL DE JUSTICIA,
2595,,CORTE NACIONAL DE JUSTICIA DEL ECUADOR,
2596,,CORTE SUPERIOR DE JUSTICIA DE LOJA,
2597,,CORVERSUR COMUNICACION INTEGRAL DE SUR RADIO HECHICERA CIA. LTDA,
2598,,COSMEDIC,
2599,,COSMO FERRETERIA,
2600,,COSMOLLANTA IMPORTDORA CIA. LTDA.,
2601,,COSTA CEVALLOS MARCELO,
2602,,COSTA GARCIA MARIA GABRIELA,
2603,,COSTA MORA MARIA DOLORES,
2604,,COSTA SAMANIEGO CECILIA DEL CARMEN,
2605,,COSTRUCABEZAS CIA. LTDA.,
2606,,COTA S.A.,
2607,,COVEHMAL,
2608,,COVERLIGHT,
2609,,COWORKING ASESORIAS,
2610,,CPA CENTER,
2611,,CPA CONSULTING ECUADOR CPAEC S.A.,
2612,,CPA FERRERE ECUADOR CPAEC S.A,
2613,,CQBFLZCH,
2614,,CREACIONAL,
2615,,CREACIONES CHARME S.A.,
2616,,CREACIONES DEPORTIVAS ANDRES.,
2617,,CREAINMOBILIARIA S.A,
2618,,CREATIVOS,
2619,,CRECERMED CIA. LTDA,
2620,,CREDI-LOJA ELECTRODOMESTICOS,
2621,,CRESPCORD CIA. LTDA.,
2622,,CRESPO VIZCARRA CIA LTDA,
2623,,CREVIGO S.A.,
2624,,CRIOLLO CHALCO MARIA ELENA,
2625,,CRIS BURGER FACTORY,
2626,,CRISSANJO INTERNATIONAL LOGISTICS CIA. LTDA,
2627,,CRISTAL HOUSE,
2628,,CRISTALUM,
2629,,CRISTIAN ALEJANDRO VELASCO OCHOA,
2630,,CRISTIAN JAVIER MAZA MERCHAN,
2631,,CRISTOBAL HERMIDIO CUEVA BENAVIDEZ,
2632,,CROMA DEL ECUADOR CROMAEQ S.A.,
2633,,CRONICA DE LA TARDE CIA. LTDA.,
2634,,CRONIX,
2635,,CRONIX CIA LTDA,
2636,,CRUZ ABRIL ABOGADOS CIA. LTDA.,
2637,,CRUZ REYES EDWIN MAURICIO,
2638,,CRUZ ROJA ECUATORIANA,
2639,,CRUZ ROJA ECUATORIANA - JUNTA PROVINCIAL DEL GUAYAS,
2640,,CRUZ ROJA ECUATORIANA JUNTA PROVINCIAL DE ZAMORA CHINCHIPE,
2641,,CRUZ ROJA ECUATORIANA LOJA,
2642,,CRUZ ROJA PROVINCIAL DE LOJA,
2643,,CS CONTABILIDAD SEGURA,
2644,,CUBE INMOBILIARIA Y CONSTRUCTORES INMOCUBE CIA LTDA.,
2645,,3CUBICAL CIA. LTDA.,
2646,,CUENCA CAMACHO SANDRA MARIANELA,
2647,,CUENCA LOZANO MARIA FERNANDA,
2648,,CUENCA PACCHA ELIANA CECIBEL,
2649,,CUENCA QUEZADA TELMO ORLAN DO,
2650,,CUENCA SOTO FRANKLIN GUILLERMO,
2651,,CUERPO DE BOMBEROS DE ESMERALDAS,
2652,,CUERPO DE BOMBEROS DE LA CIUDAD DE LOJA,
2653,,CUERPO DE BOMBEROS DE PORTOVIEJO,
2654,,CUERPO DE BOMBEROS DE SAN MIGUEL DE SALCEDO,
2655,,CUERPO DE BOMBEROS DE TULCAN,
2656,,CUERPO DE BOMBEROS DE URCUQUI,
2657,,CUERPO DE BOMBEROS DEL CANTON CENTILA DEL CONDOR,
2658,,CUERPO DE BOMBEROS DEL CANTON ESPINDOLA,
2659,,CUERPO DE BOMBEROS DEL CANTON NABON,
2660,,CUERPO DE BOMBEROS DEL CANTON SALCEDO,
2661,,CUERPO DE BOMBEROS DEL CANTON SAN JUAN BOSCO,
2662,,CUERPO DE BOMBEROS DEL CANTON ZAPOTILLO,
2663,,CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,
2664,,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTO DOMINGO,
2665,,CUERPO DE BOMBEROS JOYA DE LOS SACHAS,
2666,,CUERPO DE BOMBEROS MUNICIPAL DE MACHALA,
2667,,CUERPO DE BOMBEROS MUNICIPAL DE PIÑAS,
2668,,CUERPO DE BOMBEROS MUNICIPAL DE PUEBLOVIEJO,
2669,,CUERPO DE BOMBEROS MUNICIPAL DEL CANTON SANTA ROSA,
2670,,CUERPO DE BOMBEROS SHUSHUFINDI,
2671,,CUERPO DE BOMBEROS VOLUNTARIOS DEL CANTON SANTA ISABEL,
2672,,CUERPO DE BOMBEROS VOLUNTARIOS DEL CANTON SIGSIG,
2673,,CUERPO DE INGENIEROS DEL EJERCITO,
2674,,CUESTA CINE Y TELEVISION CUESVISION,
2675,,CUEVA CUEVA DIEGO FERNANDO,
2676,,CUEVA FIGUEROA GALO VINICIO,
2677,,CUEVA GUERRERO MARIA DEL CISNE,
2678,,CUEVA GUZMAN MARIA ALEJANDRA,
2679,,CUEVA MONTEROS FABIAN ROBERTO,
2680,,CUSTOMER SERVICES ECUADOR CSRA DEL ECUADOR,
2681,,CYBER FULL PRIVACY,
2682,,CYPE INGENIEROS S A,
2683,,D CHRISTIAN MARYURI,
2684,,D Y A CONSULTORES,
2685,,D.R.S.I. DIGITAL RADIO SISTEMAS,
2686,,DACAY SOFANIA MISHEL,
2687,,DACENDI S.A,
2688,,DALTON MANUEL HERRERA ATARIHUANA,
2689,,DAMAUS,
2690,,DANDRO CONSULTORIA LEGAL Y SALUD OCUPACIONAL CIA.LTDA.,
2691,,DANEC S.A.,
2692,,DANIEL ALEXANDER VILLARREAL LEIVA,
2693,,DANIEL PACHACUTIC CHALAN QUISHPE,
2694,,DANIEL ROBERTO GRANDA VELEZ,
2695,,DANIELA DE JESUS SOLANO SOLANO,
2696,,DANIELA DEL CISNE PELAEZ PELAEZ,
2697,,DARFAMED,
2698,,DARWIN PATRICIO CONTENTO ORTEGA,
2699,,DATA WEB MARKET,
2700,,DATA-GROUP SISTEMAS INFORMATICO,
2701,,DATAAIR,
2702,,DATAFAST S.A.,
2703,,DATTAINNOVA S.A.,
2704,,DÀVILA – AVEROS CONSULTORES,
2705,,DAVILA MORENO MARIA ANGELICA,
2706,,DAVIS INSTRUMENTS CORPORATIONN,
2707,,DAVMERCORP S.A.,
2708,,DAYAN JAKELINE PERALTA HERMIDA (VITRALUM VIDRIO Y ALUMINIO),
2709,,DAYANA MADELEINY BAJAN~A MUN~OZ,
2710,,DAYSI ELIANA BACULIMA PENA,
2711,,DE LA ROCHE MARTINEZ RICARDO JAVIER,
2712,,DECANATO SUR CENTRO,
2713,,DECORTINAS S.A.,
2714,,DEFENSORIA DEL PUEBLO,
2715,,DEFENSORIA DEL PUEBLO DE ECUADOR,
2716,,DEFENSORIA PUBLICA DEL ECUADOR,
2717,,DEL POZO MEZA DAVID EMMANUEL,
2718,,DELAROMA S.A.,
2719,,DELEGACION ELECTORAL PROVINCIAL DE MORONA SANTIAGO,
2720,,DELEGACION PROVINCIAL ELECTORAL DE LOJA,
2721,,DELEGACION PROVINCIAL ELECTORAL DE ZAMORA CHINCHIPE,
2722,,DELFOS CATALIZADORA DE NEGOCIOS S.A DELFOSTEC,
2723,,DELGADO CRUZ MARIA JOSE,
2724,,DELGADO ESPINOZA CRISTHIAN ARMANDO,
2725,,DELGADO PONCE JUAN FRANCISCO,
2726,,DELGADO RIVERA WAGNER FABRICIO,
2727,,DELGADO TORRES NELSON FERNANDO,
2728,,DELGADO VALVERDE ANDREA KARINA,
2729,,DELI SALSA,
2730,,DELIVERY HERO (DH-E-COMMERCE) ECUADOR S.A.,
2731,,DELOITTE & TOUCHE ECUADOR CIA LTDA,
2732,,DELSUR,
2733,,DEMARCACION HIDROGRAFICA DE PUYANGO,
2734,,DEMARCACION HIDROGRAFICA DE PUYANGO CATAMAYO DE LA SECRETARIA DEL AGUA,
2735,,DEMARCACION HIDROGRAFICA DE PUYANGO_SENAGUA_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PALTAS,
2736,,DENARIU SERVICES S.A (HOSTING,
2737,,DENTALES PABLO HERNAN S.A,
2738,,DEPARTAMENTO DE ANTROPOLOGIA SOCIAL DE LA UNIVERSIDAD DE OSLO,
2739,,DEPARTAMENTO DE DESARROLLO DE LA GESTION DEL ALA DE COMBATE N° 22 DE LA FAE,
2740,,DEPARTAMENTO DE GEOLOGIA Y MINAS E INGENIERIA CIVIL (LABORATORIO DE BENEFICIO DE MINERALES),
2741,,DEPOSITO DE MADERA Y FERRETERI´A EL ARTESANO,
2742,,DEPROSUR EP,
2743,,DEQUISA,
2744,,DEQUISA CIA. LTDA,
2745,,DESARROLLO TECNOLOGICO APOLO-CONTENTO-SUAREZ,
2746,,DESCA,
2747,,DESTILERIA EL PORVENIR,
2748,,DESTRABOGADOS CIA. LTDA.,
2749,,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT,
2750,,DEVELOPEMENT & BUSINESS JR CIA LTDA,
2751,,DEVIES CORP. S.A,
2752,,DGB CONSULTORIA,
2753,,DHL EXPRESS (LOJA),
2754,,DHL-EXPRESS,
2755,,DIAGNOSTICO AGUDO Y MEDICOS ESPECIALISTAS S.A.,
2756,,DIAGNOSTICO AUTOMOTRIZ CACERES,
2757,,DIAMOND GLOBAL GROUP,
2758,,DIANA GABRIELA MOREIRA AGUIRRE,
2759,,DIANA INES HUALPA SALINAS,
2760,,DIANA KATERINE VELEZ VERA,
2761,,DIANA MARIA GUTIERREZ CASTELLANOS,
2762,,DIANA SZEKELY,
2763,,DIARIO CENTINELA,
2764,,DIARIO EL TIEMPO,
2765,,DIARIO INDEPENDIENTE LOS HEMISFERIOS,
2766,,DIARIO LA HORA,
2767,,DIARIO LA PRENSA,
2768,,DIAS AGILA SANDRA PATRICIA,
2769,,DIAZ SOZORANGA RUTH MARGARITA,
2770,,DIAZ TOLEDO DARIO ALCIDES,
2771,,DIEGO ANDRES ALVAREZ ALVAREZ,
2772,,DIEGO ERNESTO CASTILLO ORTEGA,
2773,,DIEGO FERNANDO CASTILLO GUAYLLAS,
2774,,DIEGO RAMIREZ MORENO,
2775,,DIEGO SEBASTIAN CASTRO VAZQUEZ,
2776,,DIFARE S.A,
2777,,DIGIMENTORE,
2778,,DIGIMENTORE S.A.,
2779,,DIGITAL OPPORTUNITY TRUST (DOT),
2780,,DIGITAL WARE,
2781,,DIGITAL WARE LTDA,
2782,,DIGITEC,
2783,,DILIPA CIA. LTDA.,
2784,,DILMECSA SA,
2785,,DIMEDIOS PUBLICIDAD,
2786,,DINA´MICA MERCADOS,
2787,,DINACAM CIA.,
2788,,DINAMATCO CIA. LTDA,
2789,,DINAMIKO,
2790,,DINEDICIONES SA,
2791,,DINERS CLUB,
2792,,DINERS CLUB DEL ECUADOR S.A.,
2793,,DINERS CLUB INTERDIN,
2794,,DINTELSA S.A.,
2795,,DIOCESIS DE LOJA,
2796,,DIOCESIS DE LOJA - PASTORAL SOCIAL CARITAS,
2797,,DIOCESIS DE SAN JACINTO,
2798,,DIPALEM COMERCIAL,
2799,,DIPROAVILM - LOPEZ ROMO JUAN CARLOS,
2800,,DIPROCOM,
2801,,DIPROLIM,
2802,,DIPROS CONSULTING,
2803,,DIRCOM ECUADOR,
2804,,DIRECACERO DIRECCION DE EMPRESAS DEL ACERO S.A,
2805,,DIRECCION DE AVIACION CIVL,
2806,,DIRECCION DE DESARROLLO AEROESPACIAL DE LA FUERZA AEREA.,
2807,,DIRECCION DE DESARROLLO AEROESPACIAL FAE (UNIDAD DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES,
2808,,DIRECCION DE DESARROLLO SOCIAL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL TENA,
2809,,DIRECCION DE PACIFIC KINDER GARDEN,
2810,,DIRECCION DE SALUD DEL AZUAY,
2811,,DIRECCION DE SERVICIOS DE INFORMACION REGISTRAL,
2812,,DIRECCION DEL PARQUE NACIONAL GALAPAGOS,
2813,,DIRECCION DISTRITAL 01D03 GIRON A SANTA ISABEL – SALUD,
2814,,DIRECCION DISTRITAL 02D01GUARANDA MIES,
2815,,DIRECCION DISTRITAL 07D05 DE EDUCACION ARENILLAS-HUAQUILLAS-LAS LAJAS,
2816,,DIRECCION DISTRITAL 08D05 SAN LORENZO-SALUD,
2817,,DIRECCION DISTRITAL 11D01 LOJA SALUD,
2818,,DIRECCION DISTRITAL 11D09 ZAPOTILLO - SALUD,
2819,,DIRECCION DISTRITAL 11D09 ZAPOTILLO-EDUCACION,
2820,,DIRECCION DISTRITAL 13D07 - CHONE - FLAVIO ALFARO - MIES,
2821,,DIRECCION DISTRITAL 13D08PICHINCHA,
2822,,DIRECCION DISTRITAL 13D10 JAMA/PEDERNALES EDUCACION,
2823,,DIRECCION DISTRITAL 14D03 LOGRONO-SUCUA-EDUCACION,
2824,,DIRECCION DISTRITAL 17007 PARROQUIAS URBANAS CHILLOGALLO A LA ECUATORIANA EDUCACION,
2825,,DIRECCION DISTRITAL 17D06 CHILIBULO A LLOA SALUD,
2826,,DIRECCION DISTRITAL 19D01-YACUAMBI-ZAMORA - MIES,
2827,,DIRECCION DISTRITAL 19D02 CENTINEL DEL CONDOR- NANGARITZA-PAQUISHA EDUCACION,
2828,,DIRECCION DISTRITAL 19D02 NANGARITZA - CENTINELA DELCONDOR - PAQUISHA - EDUCACION,
2829,,DIRECCION DISTRITAL 19D03 CHINCHIPE,
2830,,DIRECCION DISTRITAL 20D01 – SAN CRISTOBAL - SANTA CRUZ - ISABELA - EDUCACION,
2831,,DIRECCION DISTRITAL 21D03 - CUYABENO - PUTUMAYO - EDUCACION,
2832,,DIRECCION DISTRITAL 21D03 CUYABENO -PUTUMAYO SALUD,
2833,,DIRECCION DISTRITAL 23D03 LA CONCORDIA EDUCACION,
2834,,DIRECCION DISTRITAL DE 08D01 ESMERALDAS RIOVERDE,
2835,,DIRECCION DISTRITAL DE EDUCACION - CUYABENO-PUTUMAYO,
2836,,DIRECCION DISTRITAL DE EDUCACION LOGROÑO SUCUA,
2837,,DIRECCION DISTRITAL DE EDUCACION QUITUMBE 17D07,
2838,,DIRECCION DISTRITAL DE SALUD SHUSHUFINDI 21D04,
2839,,DIRECCION DISTRITAL DEL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL SANTO DOMINGO,
2840,,DIRECCION DISTRITAL DEL MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS DE EL ORO,
2841,,DIRECCION DISTRITAL DISTRITO DE EDUCACION DE LOJA,
2842,,DIRECCION DISTRITAL MAG AZUAY,
2843,,DIRECCION DISTRITAL MIES 19D01 YACUAMBI-ZAMORA,
2844,,DIRECCION DITRISTAL 21D01 CASCALES,
2845,,DIRECCION GENERAL DE AVIACION CIVIL REGIONAL II GUAYAQUIL,
2846,,DIRECCION GENERAL DE INTELIGENCIA DE LA POLICIA NACIONAL,
2847,,DIRECCION GENERAL DE INTELIGENCIA POLICIAL,
2848,,DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,
2849,,DIRECCION METROPOLITANO DE EDUCACION CULTURA Y DEPORTE DEL ILUSTRE GOBIERNO AUTONOMO DESCENTRALIZADO DE QUITO,
2850,,DIRECCION NACIONAL DE ANALISIS DE LA INFORMACION- POLICIA NACIONAL DEL ECUADOR,
2851,,DIRECCION NACIONAL DE COMUNICACION ESTRATEGICA Y ORGANIZACIONAL DE LA POLICIA NACIONAL,
2852,,DIRECCION NACIONAL DE COMUNICACIONES DE LA POLICIA NACIONAL,
2853,,DIRECCION NACIONAL DE DELITOS CONTRA LA VIDA,
2854,,DIRECCION NACIONAL DE INVESTIGACION EDUCATIVA,
2855,,DIRECCION NACIONAL DE MEJORAMIENTO PROFESIONAL DINAMEP,
2856,,DIRECCION NACIONAL DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION DE LA POLICIA NACIONAL,
2857,,DIRECCION PROVINCIAL AGROPECUARIA DE CHIMBORAZO,
2858,,DIRECCION PROVINCIAL DE EDUCACION INTERCULTURAL BILINGUE DE NAPO,
2859,,DIRECCION PROVINCIAL DE LOJA,
2860,,DIRECCION PROVINCIAL DE SALUD DE LOJA,
2861,,DIRECCION PROVINCIAL DE SALUD DE PICHINCHA,
2862,,DIRECCION PROVINCIAL DE SALUD DEL AZUAY,
2863,,DIRECCION PROVINCIAL DE SALUD LOS RIOS,
2864,,DIRECCION PROVINCIAL DEL AMBIENTE DE EL ORO,
2865,,DIRECCION PROVINCIAL DEL AMBIENTE DE PICHINCHA,
2866,,DIRECCION PROVINCIAL DEL AMBIENTE PICHINCHA,
2867,,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE BOLIVAR,
2868,,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE ORELLANA,
2869,,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DE SANTO DOMINGO DE LOS TSACHILAS.,
2870,,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA DEL CAÑAR.,
2871,,DIRECCION PROVINCIAL DEL INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL LOJA,
2872,,DIRECCION REGIONAL DEL TRABAJO Y SERVICIO PUBLICO DE LOJA,
2873,,DIRECCION ZONAL 1 DEL MINISTERIO DEL AMBIENTE AGUA Y TRANSICION ECOLOGICA,
2874,,DIRECCION ZONAL 8 NAPO MINISTERIO DEL AMBIENTE Y AGUA,
2875,,DIRECCION ZONAL LOJA. MINISTERIO DEL AMBIENTE Y AGUA,
2876,,DIRECION DISTRITAL 19D03 CHINCHIPE-PALANDA-SALUD,
2877,,DIRECTECH CIA. LTDA,
2878,,DISBANEIRO CIA. LTDA,
2879,,DISCA PROVEEDOR FERRETERO,
2880,,DISCOVERY LIFT SRL,
2881,,DISCRITO 13D10 JAMAPEDERNALES EDUCACION,
2882,,DISCTRIBUIDORA CORDOVA S.A,
2883,,DISEC,
2884,,DISEÑO Y CONSTRUCCION ENKI PAVIRAM,
2885,,DISEÑOS,
2886,,DISEO TRES,
2887,,DISFARMED,
2888,,DISOLOXI SEGURIDAD CONTRA INCENDIOS,
2889,,DISPENSARIO MANOS DE AYUDA,
2890,,DISPENSARIO MEDICO MANOS DE AYUDA,
2891,,DISQUESA,
2892,,DISSINO,
2893,,DISTABLEC FRANQUICIADO EDIMCA,
2894,,DISTECNICS CORPORATION S.A,
2895,,DISTRIBUCIONES CORDOVA CIA LTDA.,
2896,,DISTRIBUCIONES LEON,
2897,,DISTRIBUCIONES MAX DIAZ,
2898,,DISTRIBUIDOR,
2899,,DISTRIBUIDOR PRODUCTOS ECOLAC,
2900,,DISTRIBUIDOR QUITO SUR,
2901,,DISTRIBUIDORA ABAD HNOS.,
2902,,DISTRIBUIDORA ALVINOR DE ALUMINIO Y VIDRIO CEDAL,
2903,,DISTRIBUIDORA ARGUELLO CAZAR CIA. LTDA.,
2904,,DISTRIBUIDORA AUTOMOTRIZ AUTOREPUESTOS PICHINCHA,
2905,,DISTRIBUIDORA AUTOMOTRIZ CUENCA CHAMBA DISTRIAUTOC CIA. LTDA.,
2906,,DISTRIBUIDORA B Y Z,
2907,,DISTRIBUIDORA CASTRO,
2908,,DISTRIBUIDORA DE CARNES Y ALIMENTOS DIGECA S.A.,
2909,,DISTRIBUIDORA DE MEDICAMENTOS DISPRESFARMA CIA.LTDA.,
2910,,DISTRIBUIDORA DE MOTOCILETAS MOTDIS S.A.,
2911,,DISTRIBUIDORA DE PLASTICOS Y DESCARTABLES JRG,
2912,,DISTRIBUIDORA DE ROPA VERANO SPORT,
2913,,DISTRIBUIDORA DISPACIF S.A,
2914,,DISTRIBUIDORA DON JHONNY,
2915,,DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A.,
2916,,DISTRIBUIDORA GRANDA,
2917,,DISTRIBUIDORA IMPORTADORA DIPOR S.A,
2918,,DISTRIBUIDORA JASBL,
2919,,DISTRIBUIDORA LOPEZ,
2920,,DISTRIBUIDORA LOS PAISAS,
2921,,DISTRIBUIDORA MAIRA CHINGA ROBLES,
2922,,DISTRIBUIDORA MEINJOR IMPORT MEDIK CIA. LTDA,
2923,,DISTRIBUIDORA MYM,
2924,,DISTRIBUIDORA OCHOA AVILA C. LTDA. DISOA,
2925,,DISTRIBUIDORA ORIENTE Y PLASTICOM CIA. LTDA,
2926,,DISTRIBUIDORA OROZCO,
2927,,DISTRIBUIDORA PALACIOS SOTO Y CIA. LTDA. APROMED,
2928,,DISTRIBUIDORA PUNTO AZUL,
2929,,DISTRIBUIDORA REDIL,
2930,,DISTRIBUIDORA ROGUER,
2931,,DISTRIBUIDORA VERANO SPORT,
2932,,DISTRIBUIDORA Y COMERCIALIZADORA EL CISNE,
2933,,DISTRIBUIDORA Y COMERCIALIZADORA GONZALEZ,
2934,,DISTRIBUIDORA Y COMERCIALIZADORA ULTRA-GR CIA. LTDA,
2935,,DISTRIBUIDORA Y COMERCIALIZADORA VILLAFUERTE,
2936,,DISTRIPVET VETERINARIA C.L.,
2937,,DISTRITO 02D01 GUARANDA EDUCACION,
2938,,DISTRITO 07D03 ATAHUALPA-PORTOVELO-ZARUMA-SALUD,
2939,,DISTRITO 11D02 CATAMAYO-CHAGUARPAMBA-OLMEDO-EDUCACION,
2940,,DISTRITO 11D04 CELICA-PINDAL-PUYANGO-EDUCACION,
2941,,DISTRITO 19D02 CENTINELA DEL CONDOR NANGARITZA PAQUISHA,
2942,,DISTRITO 22D03 AGUARICO - EDUCACION,
